#{"t_start": 1738564177.2584584, "env_id": "None"}
r,l,t
-318.272016,100,2478.954513
-315.129323,100,2485.321232
-321.391329,100,2490.44613
-317.007013,100,2496.725655
-318.74483,100,2503.111725
-314.74419,100,2508.462426
-313.98916,100,2514.119346
-321.403613,100,2519.290914
-314.505189,100,2524.570174
-316.244831,100,2529.915016
-323.620073,100,2535.371473
-312.559725,100,2540.979371
-325.845687,100,2546.140701
-321.723426,100,2558.567414
-317.922494,100,2564.602427
-312.511,100,2570.079816
-324.28464,100,2575.425284
-332.230919,100,2580.453505
-317.209762,100,2585.493053
-323.758639,100,2590.601053
-315.188154,100,2595.812981
-317.445588,100,2600.957566
-320.024972,100,2606.182843
-318.566092,100,2618.580672
-318.630901,100,2624.160486
-322.205914,100,2629.365316
-321.309864,100,2634.397045
-325.518954,100,2639.369858
-314.088934,100,2644.734317
-317.26489,100,2650.65114
-319.922968,100,2662.457489
-316.778188,100,2667.852899
-316.662768,100,2673.026961
-313.684569,100,2680.744001
-319.470613,100,2688.051969
-324.340197,100,2693.079607
-323.261441,100,2697.994282
-325.948784,100,2710.050307
-321.295326,100,2715.188422
-317.521831,100,2727.419153
-316.531452,100,2740.1273
-322.269013,100,2745.289511
-314.346644,100,2750.364719
-316.002219,100,2755.354499
-313.577051,100,2767.595153
-324.757386,100,2809.877307
-314.19223,100,2821.950649
-312.744807,100,2834.393467
-317.305335,100,2839.451163
-316.536918,100,2844.754314
-317.030744,100,2850.062549
-321.760237,100,2862.584977
-318.764263,100,2867.955693
-326.87422,100,2873.536285
-317.644948,100,2884.733821
-319.119953,100,2889.776738
-317.150632,100,2895.296411
-317.262457,100,2900.437452
-321.508436,100,2905.67412
-320.288383,100,2910.872558
-322.862417,100,2917.407494
-319.928679,100,2923.563689
-315.274788,100,2928.628283
-319.77819,100,2934.002811
-312.191505,100,2939.310013
-314.20062,100,2944.570074
-316.726244,100,2949.821555
-313.346464,100,2954.863488
-321.202706,100,2959.984522
-310.578382,100,2965.451814
-323.168581,100,2970.642481
-331.918891,100,2976.967121
-330.298636,100,2983.244166
-324.084357,100,2988.386389
-323.120793,100,2993.659543
-319.024069,100,3000.212262
-322.703909,100,3012.281484
-325.069078,100,3017.586721
-314.824698,100,3030.410271
-324.080749,100,3043.15369
-322.012782,100,3055.238789
-324.305113,100,3060.398225
-316.972655,100,3065.806284
-316.600463,100,3071.183268
-326.956425,100,3083.209516
-326.123529,100,3088.95539
-315.834498,100,3094.933183
-315.30954,100,3106.523442
-315.403128,100,3118.913903
-320.704856,100,3124.392552
-316.438186,100,3136.943292
-321.490508,100,3148.96711
-314.682024,100,3154.159154
-323.470533,100,3161.801378
-322.759945,100,3167.704061
-324.144572,100,3178.562619
-318.364572,100,3184.244792
-318.72892,100,3189.526471
-318.536833,100,3195.378505
-321.785744,100,3200.836366
-319.338239,100,3206.054245
-316.154985,100,3211.203056
-315.455691,100,3219.068336
-321.112852,100,3225.31433
-316.270235,100,3230.88279
-321.88447,100,3235.876268
-324.096473,100,3240.965177
-316.977229,100,3246.138738
-322.098073,100,3252.007277
-323.899738,100,3259.66961
-324.141327,100,3264.664521
-323.155765,100,3269.718091
-315.775581,100,3275.40565
-320.346179,100,3282.408009
-325.132667,100,3294.657241
-315.991644,100,3299.662949
-326.341354,100,3306.171384
-315.580651,100,3311.453811
-313.112609,100,3316.81088
-315.253106,100,3322.094807
-326.029933,100,3327.460849
