#{"t_start": 1737249588.6718976, "env_id": "None"}
r,l,t
-183.821326,1000,64015.394539
-358.355545,1000,64063.710762
-90.867762,1000,64116.38606
-415.462635,1000,64374.320879
-108.277298,1000,64425.496437
-249.493466,1000,64475.967614
-108.01921,1000,64523.679144
-103.01809,1000,64574.718469
-185.811705,1000,64622.274312
-78.990264,1000,64671.793709
-412.795148,1000,64718.917392
-89.360057,1000,64765.449081
-107.749782,1000,64817.025144
-141.291886,1000,65098.637839
-100.965634,1000,65145.865485
-509.641925,1000,65190.548489
-345.24811,1000,65235.846598
-294.148482,1000,65282.917043
-120.604033,1000,65331.642076
-92.225089,1000,65376.867003
-138.83899,1000,65423.646117
-218.491449,1000,65470.665079
-98.271496,1000,65518.743905
-117.310913,1000,65803.65797
-107.497917,1000,65852.997742
-199.195238,1000,65899.651478
-13.213895,289,65919.132601
-182.993692,1000,65967.618119
-32.482092,488,65995.538226
-108.85101,1000,66043.035076
-103.488194,1000,66093.274594
-530.436891,1000,66138.862067
