"Relative Time (Process)","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MIN","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MAX"
"2895.523359359","426.545","426.545","426.545"
"2910.522250996","432.002","432.002","432.002"
"2925.522957159","430.843","430.843","430.843"
"2940.522612902","433.094","433.094","433.094"
"2955.522984472","433.637","433.637","433.637"
"2970.523505124","427.013","427.013","427.013"
"2985.522658213","431.294","431.294","431.294"
"3000.522722474","426.268","426.268","426.268"
"3015.524133784","427.459","427.459","427.459"
"3030.522981795","432.759","432.759","432.759"
"3045.523453848","426.894","426.894","426.894"
"3060.523037525","427.112","427.112","427.112"
"3075.522752221","432.447","432.447","432.447"
"3090.523794953","423.881","423.881","423.881"
"3105.524351826","426.734","426.734","426.734"
"3120.524451684","432.4","432.4","432.4"
"3135.523119978","426.419","426.419","426.419"
"3150.522721864","434.595","434.595","434.595"
"3165.524049553","431.633","431.633","431.633"
"3180.52348775","427.628","427.628","427.628"
"3195.522445479","430.365","430.365","430.365"
"3210.523945811","430.677","430.677","430.677"
"3225.523872972","432.744","432.744","432.744"
"3240.523370168","435.643","435.643","435.643"
"3255.522987845","430.937","430.937","430.937"
"3270.523363934","431.357","431.357","431.357"
"3285.522931419","426.257","426.257","426.257"
"3300.523232632","431.171","431.171","431.171"
"3315.524595503","431.054","431.054","431.054"
"3330.522387008","427.741","427.741","427.741"
"3345.52322553","430.968","430.968","430.968"
"3360.523333649","431.358","431.358","431.358"
"3375.522560089","427.374","427.374","427.374"
"3390.522423229","436.675","436.675","436.675"
"3405.52284579","430.675","430.675","430.675"
"3420.523559063","424.285","424.285","424.285"
"3435.522911092","431.725","431.725","431.725"
"3450.523110265","431.321","431.321","431.321"
"3465.522964422","432.803","432.803","432.803"
"3480.523063999","433.793","433.793","433.793"
"3495.523011824","429.157","429.157","429.157"
"3510.523875656","431.392","431.392","431.392"
"3525.522768413","424.657","424.657","424.657"
"3540.523571363","427.1","427.1","427.1"
"3555.52271471","431.828","431.828","431.828"
"3570.522415122","427.351","427.351","427.351"
"3585.524620686","431.758","431.758","431.758"
"3600.522816251","431.229","431.229","431.229"
