"Relative Time (Process)","ft1 - system/gpu.0.powerWatts","ft1 - system/gpu.0.powerWatts__MIN","ft1 - system/gpu.0.powerWatts__MAX"
"7560.354423237","427.979","427.979","427.979"
"7575.355879515","421.86","421.86","421.86"
"7590.354705955","428.375","428.375","428.375"
"7605.354079268","427.568","427.568","427.568"
"7620.354642258","422.465","422.465","422.465"
"7635.354026546","423.705","423.705","423.705"
"7650.354675778","427.127","427.127","427.127"
"7665.353761624","425.033","425.033","425.033"
"7680.354586422","421.788","421.788","421.788"
"7695.354179999","426.818","426.818","426.818"
"7710.355134763","424.029","424.029","424.029"
"7725.354004643","428.442","428.442","428.442"
"7740.354172832","427.011","427.011","427.011"
"7755.353761999","420.089","420.089","420.089"
"7770.354699554","431.605","431.605","431.605"
"7785.354035794","426.694","426.694","426.694"
"7800.353441641","421.794","421.794","421.794"
"7815.354249032","434.81","434.81","434.81"
"7830.353607615","427.824","427.824","427.824"
"7845.354076861","420.21","420.21","420.21"
"7860.354143019","435.342","435.342","435.342"
"7875.356495796","427.953","427.953","427.953"
"7890.353434697","423.956","423.956","423.956"
"7905.354138124","434.846","434.846","434.846"
"7920.354326324","427.355","427.355","427.355"
"7935.353685334","428.648","428.648","428.648"
"7950.35568596","431.668","431.668","431.668"
"7965.354753042","424.427","424.427","424.427"
"7980.354191519","426.068","426.068","426.068"
"7995.355054921","429.417","429.417","429.417"
"8010.353891882","424.904","424.904","424.904"
"8025.353799116","428.34","428.34","428.34"
"8040.353828312","422.184","422.184","422.184"
"8055.354943469","426.41","426.41","426.41"
"8070.3542765","426.671","426.671","426.671"
"8085.353424565","423.285","423.285","423.285"
"8100.354193542","425.162","425.162","425.162"
"8115.353497686","427.04","427.04","427.04"
"8130.354417232","422.694","422.694","422.694"
"8145.354443229","430.981","430.981","430.981"
"8160.354063965","428.214","428.214","428.214"
"8175.35518224","422.533","422.533","422.533"
"8190.35344608","425.729","425.729","425.729"
"8205.355300612","426.74","426.74","426.74"
"8220.35376846","422.581","422.581","422.581"
"8235.354080148","427.485","427.485","427.485"
"8250.355189511","427.86","427.86","427.86"
"8265.35399398","425.121","425.121","425.121"
"8280.354454151","430.701","430.701","430.701"
"8295.353654504","427.285","427.285","427.285"
"8310.354252918","419.848","419.848","419.848"
"8325.354303717","433.698","433.698","433.698"
"8340.35477266","427.229","427.229","427.229"
"8355.3559075","424.179","424.179","424.179"
"8370.353669878","430.726","430.726","430.726"
"8385.355374866","427.002","427.002","427.002"
"8400.354410605","429.239","429.239","429.239"
"8415.354690651","433.472","433.472","433.472"
"8430.354345449","427.382","427.382","427.382"
"8445.354682077","428.939","428.939","428.939"
"8460.354267253","427.336","427.336","427.336"
"8475.354165604","425.616","425.616","425.616"
"8490.354924157","426.678","426.678","426.678"
"8505.353904455","425.014","425.014","425.014"
"8520.354185334","425.66","425.66","425.66"
"8535.354367392","426.643","426.643","426.643"
"8550.355890576","420.196","420.196","420.196"
"8565.353921635","423.831","423.831","423.831"
"8580.354128442","427.01","427.01","427.01"
"8595.353490887","423.748","423.748","423.748"
"8610.354150996","423.804","423.804","423.804"
"8625.356574868","428.101","428.101","428.101"
"8640.353992463","421.426","421.426","421.426"
"8655.354067188","429.375","429.375","429.375"
"8670.354308759","427.724","427.724","427.724"
"8685.353967213","422.322","422.322","422.322"
"8700.354074322","427.573","427.573","427.573"
"8715.354541487","427.462","427.462","427.462"
"8730.354123679","424.853","424.853","424.853"
"8745.354400492","432.483","432.483","432.483"
"8760.353462204","427.673","427.673","427.673"
"8775.35462149","422.736","422.736","422.736"
"8790.354018388","433.128","433.128","433.128"
"8805.35346348","426.874","426.874","426.874"
"8820.356672185","423.693","423.693","423.693"
"8835.354981353","428.431","428.431","428.431"
"8850.353986365","427.367","427.367","427.367"
"8865.354147713","429.456","429.456","429.456"
"8880.355466732","425.486","425.486","425.486"
"8895.353875886","424.654","424.654","424.654"
"8910.354277428","426.928","426.928","426.928"
"8925.354378369","427.732","427.732","427.732"
"8940.353803178","425.742","425.742","425.742"
"8955.354320818","427.147","427.147","427.147"
"8970.353542891","425.009","425.009","425.009"
"8985.353943227","425.43","425.43","425.43"
"9000.353908405","427.392","427.392","427.392"
"9015.35672859","420.824","420.824","420.824"
"9030.354193271","423.018","423.018","423.018"
"9045.354101877","427.173","427.173","427.173"
"9060.35386376","81.452","81.452","81.452"
"9075.3542677","75.886","75.886","75.886"
"9090.354313345","72.774","72.774","72.774"
"9105.353474458","70.724","70.724","70.724"
"9120.353866175","70.218","70.218","70.218"
"9135.354370591","69.786","69.786","69.786"
"9150.354161225","69.765","69.765","69.765"
"9165.354588707","420.793","420.793","420.793"
"9180.353325698","421.649","421.649","421.649"
"9195.353772838","417.046","417.046","417.046"
"9210.354325869","426.247","426.247","426.247"
"9225.353677897","423.793","423.793","423.793"
"9240.354151013","421.248","421.248","421.248"
"9255.354408989","426.977","426.977","426.977"
"9270.35452578","426.681","426.681","426.681"
"9285.354622838","421.182","421.182","421.182"
"9300.353966203","420.997","420.997","420.997"
"9315.353704754","426.246","426.246","426.246"
"9330.354381116","420.999","420.999","420.999"
"9345.353578432","424.952","424.952","424.952"
"9360.35343823","426.406","426.406","426.406"
"9375.354796588","422.632","422.632","422.632"
"9390.353744906","425.469","425.469","425.469"
"9405.356125024","428.096","428.096","428.096"
"9420.35445414","422.959","422.959","422.959"
"9435.35426301","428.69","428.69","428.69"
"9450.35481388","426.458","426.458","426.458"
"9465.357123234","428.806","428.806","428.806"
"9480.355299948","430.408","430.408","430.408"
"9495.354438233","427.953","427.953","427.953"
"9510.354563312","428.001","428.001","428.001"
"9525.354434675","431.902","431.902","431.902"
"9540.355095583","423.301","423.301","423.301"
"9555.354122136","426.501","426.501","426.501"
"9570.354919424","428.468","428.468","428.468"
"9585.353619279","427.364","427.364","427.364"
"9600.353764934","427.047","427.047","427.047"
"9615.355124914","421.999","421.999","421.999"
"9630.354017548","423.619","423.619","423.619"
"9645.354787349","426.703","426.703","426.703"
"9660.353580505","423.469","423.469","423.469"
"9675.353949787","425.889","425.889","425.889"
"9690.354661174","427.536","427.536","427.536"
"9705.354032982","423.15","423.15","423.15"
"9720.354571628","423.964","423.964","423.964"
"9735.354176354","428.013","428.013","428.013"
"9750.354109833","424.489","424.489","424.489"
"9765.353969626","428.577","428.577","428.577"
"9780.354555529","427.574","427.574","427.574"
"9795.354747674","419.206","419.206","419.206"
"9810.354040965","428.081","428.081","428.081"
"9825.354161924","426.323","426.323","426.323"
"9840.353918271","421.245","421.245","421.245"
"9855.354528497","431.337","431.337","431.337"
"9870.353930247","427.394","427.394","427.394"
"9885.355560424","419.851","419.851","419.851"
