#{"t_start": 1734416356.5535643, "env_id": "None"}
r,l,t
-765851.90882,1000,16959.261134
-35596.870611,1000,16980.686379
-37074.165806,1000,17239.615325
-22464.95232,1000,17262.059981
-23058.265097,1000,17283.174792
-2206.745201,1000,17304.518718
-67443.811319,1000,17326.545898
-908.995639,1000,17591.365683
-686.504363,1000,17612.778422
-4751.178348,1000,17634.166554
-107169.983852,1000,17655.448952
-4382.095391,1000,17677.453001
-36015.926829,1000,17948.515955
-30762.52818,1000,17970.017517
-18685.193313,1000,17991.662358
-62954.141756,1000,18013.140823
-40109.886725,1000,18034.383402
-1981.159563,1000,18299.905927
-5126.440759,1000,18321.473873
-10140.793428,1000,18342.111193
-1377.616176,1000,18362.595764
-10141.389635,1000,18384.16849
-3288.109012,1000,18650.689845
-7800.597816,1000,18671.514025
-66404.115852,1000,18692.387341
-25293.278711,1000,18712.27463
-2028.961347,1000,18732.868323
-36647.376531,1000,19001.851866
-5387.934777,1000,19019.668489
-52560.375287,1000,19040.623582
-18368.248837,1000,19062.061973
-10729.995362,1000,19083.092591
-795.129904,1000,19350.375809
-4508.568809,1000,19372.435652
-279016.647746,1000,19394.629828
-26696.587622,1000,19415.052605
-666.858224,1000,19437.412688
-7912.263761,1000,19706.637059
-10720.950328,1000,19727.480163
-799.122045,1000,19748.891556
-12464.500364,1000,19769.723315
-22491.605618,1000,19790.736595
-650.306178,1000,20053.32701
-642430.406422,1000,20074.160714
-51543.27088,1000,20096.083909
-1348.713908,1000,20117.648206
-7797.568942,1000,20138.811592
-13570.537493,1000,20415.084674
-6507.040072,1000,20436.903878
-36558.124117,1000,20458.205208
-1735.035445,1000,20478.937842
-6481.503709,1000,20500.563019
-15658.295348,1000,20771.57892
-972.078455,1000,20793.625459
-16613.953967,1000,20815.358414
-11746.608931,1000,20836.083034
-8526.876929,1000,20856.873071
-23313.125723,1000,21120.343219
-6270.75254,1000,21141.167807
-14903.308615,1000,21162.159356
-12976.358822,1000,21183.587636
-18106.023875,1000,21204.283134
-16612.6806,1000,21469.485926
-640.086708,1000,21491.185048
-3673.861113,1000,21512.10956
-935.665201,1000,21533.052669
-1829.537545,1000,21554.732908
-6941.801551,1000,21819.75202
-7376.639132,1000,21840.599806
-7473.473098,1000,21862.047857
-3642.818872,1000,21882.91105
-3111.449178,1000,21904.180556
-657.939335,1000,22178.73003
-12409.975019,1000,22198.687402
-52885.983663,1000,22219.629423
-1028.771699,1000,22240.84935
-19317.679491,1000,22261.393796
-761.85663,1000,22529.672951
-735.28875,1000,22550.348122
-57849.741864,1000,22571.510417
-776.760575,1000,22592.593644
-12951.871179,1000,22615.272027
-11831.698729,1000,22887.950793
-100086.987972,1000,22908.76834
-7221.476609,1000,22929.565467
-4866.856997,1000,22950.3531
-819.514629,1000,22972.230567
-649.140814,1000,23253.407594
-12049.359265,1000,23275.728236
-1299.06188,1000,23297.173378
-54766.640343,1000,23319.214074
-623.143921,1000,23339.848458
-86243.271411,1000,23622.835616
-186785.343616,1000,23643.975524
-4768.470005,1000,23665.249274
-20515.611626,1000,23686.481985
-13000.349776,1000,23707.711371
-1293.335473,1000,23986.083937
-623.452191,1000,24007.558947
-22393.754986,1000,24029.08978
-759.64155,1000,24050.596229
-33130.692188,1000,24071.89648
-217683.485822,1000,24341.813682
-656.655487,1000,24362.241097
-1436.553889,1000,24382.993787
-636.214783,1000,24403.711554
-3878.231987,1000,24424.497293
-1790.053809,1000,24691.823663
-656.269483,1000,24712.961045
-663.531176,1000,24734.102367
-737.266053,1000,24755.717936
-2195.005328,1000,24776.305238
-627.376303,1000,25048.174231
-636.879657,1000,25069.426305
-754.603048,1000,25090.29474
-4461.703932,1000,25111.688676
-18834.259533,1000,25132.269427
-5935.73994,1000,25397.929144
-1023.63419,1000,25418.639716
-48832.921286,1000,25439.586263
-601.866373,1000,25460.142687
-1437.813545,1000,25481.175903
-649.005928,1000,25752.024431
-25606.787867,1000,25772.80175
-748.518263,1000,25793.71056
-7218.070468,1000,25814.618812
-743.827478,1000,25835.476104
-8310.953119,1000,26104.667498
-11349.117769,1000,26125.979433
-3137.344209,1000,26145.196281
-3693.489409,1000,26161.840326
-67316.878725,1000,26183.967799
-739.782186,1000,26450.421097
-763.002554,1000,26471.991421
-11728.558169,1000,26492.772564
-1444.592171,1000,26512.301916
-682.053074,1000,26534.003572
-628.211795,1000,26801.654417
-653.775374,1000,26822.06002
-1251.728892,1000,26842.503114
-940.58642,1000,26863.904824
-1622.934343,1000,26884.907113
-642.273031,1000,27154.728626
-657.909436,1000,27175.406868
-648.93857,1000,27196.07731
-662.523322,1000,27216.996726
-7494.554546,1000,27238.529829
-15515.192878,1000,27521.77722
-670.146901,1000,27544.278231
-85613.037343,1000,27565.302911
-678.095759,1000,27585.899343
-660.397978,1000,27608.848685
-684.201195,1000,27893.117948
-730.797422,1000,27914.974147
-639.013775,1000,27935.739461
-615.10702,1000,27956.704263
-3778.524229,1000,27978.138592
-11314.821684,1000,28264.803454
-747.759682,1000,28286.108066
-3854.049659,1000,28307.791902
-565.840945,1000,28329.048619
-660.935359,1000,28350.396746
-1501.35762,1000,28631.684526
-12409.262368,1000,28652.736355
-676.013676,1000,28675.614393
-657.478485,1000,28696.478679
-646.287987,1000,28717.424892
-123836.223654,1000,28999.536681
-3810.593487,1000,29020.746384
-682.12992,1000,29043.514357
-566.112703,1000,29064.730875
-11350.76729,1000,29086.379128
-669.656981,1000,29366.999614
-785.405806,1000,29388.174563
-3856.780525,1000,29409.103761
-45178.877349,1000,29430.071922
-752.801488,1000,29451.44949
-752.666,1000,29727.62015
-683.598382,1000,29749.569335
-808.428478,1000,29770.54395
-749.885353,1000,29791.107713
-9337.180299,1000,29812.280904
-617.661665,1000,30090.086219
-658.689409,1000,30110.889104
-678.734228,1000,30133.057292
-561.013049,1000,30153.655993
-2037.075739,1000,30176.081587
-701.412949,1000,30448.656723
-722.404503,1000,30469.687606
-685.602535,1000,30490.571586
-667.164893,1000,30512.25114
-5188.941738,1000,30533.426504
-610.611782,1000,30801.890034
-705.134442,1000,30824.123737
-776.923255,1000,30845.541849
-635.447502,1000,30865.911378
-709.936126,1000,30886.930911
-672.770005,1000,31153.426079
-8554.264865,1000,31174.431643
-741.489693,1000,31196.268278
-7400.304255,1000,31217.065658
-736.344176,1000,31239.606753
-531791.570895,1000,31507.335553
-15787.470409,1000,31528.404596
-5246.526259,1000,31550.166749
-627.001975,1000,31570.65294
-1280.1446,1000,31592.492843
-1576.214976,1000,31861.644569
-868.383106,1000,31883.473397
-14317.20578,1000,31904.321608
-802.701735,1000,31926.653999
-2736.486077,1000,31948.525074
-632.85576,1000,32216.736661
-9885.203119,1000,32236.043871
-664.326899,1000,32258.522972
-14171.105515,1000,32279.26994
-4648.351937,1000,32300.888239
-12706.342793,1000,32571.272888
-653.831702,1000,32593.32752
-969.649387,1000,32614.227625
-654.339079,1000,32635.9209
-651.373061,1000,32657.628689
-632.456748,1000,32931.15724
-655.810404,1000,32952.773932
-8554.240241,1000,32974.024957
-14605.703227,1000,32993.914691
-14067.975458,1000,33015.179202
-740.142522,1000,33286.660279
-5156.935706,1000,33307.460501
-7037.6118,1000,33328.466911
-662.552651,1000,33348.878471
-662.072635,1000,33370.801977
-36880.045163,1000,33638.559153
-669.332992,1000,33661.529526
-685.076101,1000,33682.013464
-1900.855128,1000,33702.686362
-698.205817,1000,33723.765751
-15022.776432,1000,33993.136425
-27893.49292,1000,34014.037269
-754.695826,1000,34035.964556
-653.070356,1000,34057.538759
-743.481822,1000,34078.499415
-803.342036,1000,34350.505342
-5182.416044,1000,34371.869659
-688.642033,1000,34393.008631
-1555.80751,1000,34413.92468
-2221.123688,1000,34435.353426
-679.107966,1000,34714.503829
-3095.119772,1000,34735.444571
-667.903792,1000,34757.453018
-726.338217,1000,34779.969816
-5410.023984,1000,34800.904239
-654.144449,1000,35076.024689
-659.536118,1000,35097.786345
-611.363223,1000,35118.423132
-739.651148,1000,35139.767816
-759.067873,1000,35161.786547
-663.478871,1000,35439.585458
-634.361699,1000,35462.076193
-652.428602,1000,35484.912375
-10907.379342,1000,35506.1918
-697.957914,1000,35527.373424
-669.212689,1000,35804.813413
-894.500235,1000,35825.735213
-644.038549,1000,35846.318985
-632.537896,1000,35868.395455
-641.924768,1000,35888.749357
-657.585097,1000,36153.683686
-660.959173,1000,36176.070295
-652.127048,1000,36197.97713
-628.918315,1000,36219.216579
-684.422486,1000,36239.785996
-664.698726,1000,36510.301334
-666.489631,1000,36531.276554
-629.965557,1000,36552.994029
-655.033925,1000,36575.252229
-641.52931,1000,36597.278728
-584.308364,1000,36867.831641
-641.468868,1000,36889.598669
-590.627124,1000,36910.043362
-1439.269306,1000,36931.853782
-613.619322,1000,36952.727628
-641.355366,1000,37222.304394
-575.715996,1000,37242.24825
-640.52721,1000,37263.550212
-677.574923,1000,37286.794211
-702.508146,1000,37307.287899
-584.309601,1000,37581.074766
-670.56842,1000,37602.123528
-637.038053,1000,37624.694262
-766.441863,1000,37645.718158
-624.258996,1000,37666.172344
-644.573349,1000,37941.102388
-651.195956,1000,37961.541466
-622.146177,1000,37982.424013
-616.635921,1000,38002.833726
-673.565817,1000,38024.242161
-602.648396,1000,38291.636619
