#{"t_start": 1738641857.8981974, "env_id": "None"}
r,l,t
-311.581447,100,3360.588113
-311.964303,100,3374.264951
-313.829119,100,3386.502577
-309.353015,100,3454.034307
-315.949293,100,3459.467282
-314.058233,100,3465.248178
-313.267205,100,3472.279945
-311.263201,100,3479.730698
-311.087718,100,3486.573826
-312.556006,100,3495.798706
-310.65707,100,3502.791504
-310.787305,100,3517.537907
-312.407828,100,3531.991027
-315.272482,100,3540.974292
-313.071514,100,3547.101484
-311.504578,100,3552.640126
-309.36476,100,3569.217505
-313.744407,100,3577.561566
-312.528446,100,3584.193382
-112.223077,36,3587.059202
-259.894955,84,3599.013054
-315.139083,100,3611.880734
-310.916556,100,3625.572028
-314.815639,100,3638.373548
-118.959096,38,3643.970433
-313.81456,100,3651.063722
-309.437586,100,3665.050375
-312.990312,100,3671.250094
-310.472597,100,3680.681739
-314.838789,100,3686.850698
-310.796918,100,3693.832932
-312.152964,100,3700.113866
-312.296674,100,3707.063179
-46.886175,15,3708.25947
-313.86129,100,3722.994677
-310.850324,100,3732.558549
-312.673146,100,3738.810374
-314.110552,100,3751.925835
-310.403382,100,3759.384456
-314.924027,100,3765.637434
-311.676615,100,3776.966179
-310.386764,100,3785.615906
-309.569615,100,3792.860216
-309.449014,100,3799.446351
-311.680501,100,3805.261105
-313.464168,100,3811.14873
-312.761641,100,3817.44259
-311.415223,100,3824.358593
-312.923636,100,3831.716652
-315.999086,100,3844.278142
-278.296562,90,3858.505118
-311.765284,100,3865.108937
-312.754433,100,3871.347317
-308.399993,100,3879.041344
-311.776656,100,3886.044779
-308.521703,100,3902.340056
-71.726818,23,3905.900261
-314.90749,100,3911.347602
-313.049436,100,3924.435502
-311.531721,100,3937.988084
-309.247651,100,3948.52955
-312.479433,100,3959.433873
-314.665594,100,3970.195636
-313.269915,100,3984.503587
-200.827474,65,3995.816653
-314.183067,100,4005.879067
-137.103231,44,4009.351553
-311.547742,100,4017.409961
-310.092491,100,4032.465242
-313.740511,100,4045.433102
-311.330122,100,4051.213433
-317.463063,100,4058.158916
-311.554413,100,4064.753557
-311.850023,100,4076.924264
-312.685324,100,4085.247015
-314.708957,100,4099.407457
-313.091677,100,4107.479846
-315.192947,100,4120.70094
-309.762527,100,4132.473789
-310.414356,100,4140.944416
-312.015253,100,4147.366542
-309.592351,100,4154.244846
-312.370586,100,4160.592166
-62.023256,20,4164.019057
-128.841655,41,4167.119849
-310.033166,100,4174.412139
-309.645415,100,4188.562078
-311.097117,100,4197.280463
-204.062677,66,4202.512764
-310.454637,100,4215.918627
-140.529781,45,4223.160145
-311.688163,100,4230.301816
-313.693927,100,4235.839218
-312.475713,100,4241.514332
-315.231843,100,4254.32321
-91.611309,29,4257.179765
-315.027926,100,4263.644051
-314.703368,100,4274.888346
-314.065317,100,4280.776962
-312.190263,100,4294.880012
-310.353293,100,4308.732649
-313.197499,100,4322.390361
-310.836502,100,4337.161099
-311.182932,100,4343.357679
-311.301293,100,4357.22785
-152.186276,49,4361.278886
-310.975224,100,4368.856866
-87.033682,28,4372.452417
-315.282762,100,4380.414274
-312.877439,100,4385.777959
-119.14855,38,4388.658794
-317.283061,100,4457.875878
-313.260781,100,4470.592546
-314.569073,100,4477.005687
-312.504383,100,4483.558582
-310.934661,100,4496.720031
-310.140522,100,4511.089692
-312.248704,100,4523.661536
-312.48085,100,4537.506289
-313.284221,100,4543.232742
-309.730881,100,4552.9941
-132.873181,43,4558.449288
-312.414714,100,4564.337757
-308.826286,100,4573.290136
-311.722819,100,4581.259716
-74.686604,24,4585.029341
-311.959987,100,4598.394907
-312.613708,100,4611.590314
-240.323257,78,4620.283408
-309.061803,100,4627.784596
-315.771704,100,4640.752824
-309.469257,100,4649.333083
-313.992199,100,4655.202137
-312.622951,100,4662.324583
-312.28622,100,4667.975865
-311.097407,100,4682.417303
-315.702321,100,4688.109111
-310.21312,100,4695.055853
-119.386797,38,4697.883404
-313.602722,100,4704.678945
-108.886056,35,4707.674048
-102.406795,33,4710.48101
-315.044335,100,4715.972731
-312.18518,100,4730.641867
-84.910893,27,4733.746033
-253.50777,82,4742.50154
-312.404218,100,4749.417288
-314.396265,100,4762.460989
-316.406643,100,4774.281232
-311.544067,100,4787.915499
-311.309207,100,4797.247702
-243.684532,79,4804.442744
-312.865484,100,4811.470029
-310.921424,100,4826.550302
-311.831269,100,4832.614927
-310.449632,100,4846.812679
-121.520112,39,4853.333357
-314.328952,100,4860.330865
-161.588112,52,4864.995773
-310.573603,100,4880.672197
-307.220074,100,4889.987494
-313.627629,100,4896.384976
-311.059769,100,4902.753531
-310.606733,100,4910.382252
-309.700993,100,4919.794759
-312.312788,100,4926.955771
-86.652294,28,4931.583973
-105.800448,34,4934.202508
-311.55029,100,4941.80399
-313.434781,100,4948.080488
-311.057439,100,4954.654839
-310.017762,100,4963.353777
-71.80934,23,4967.077449
-155.150819,50,4975.949011
-311.312028,100,4983.273649
-309.61044,100,4998.019586
-313.883203,100,5010.524412
-310.483677,100,5018.284976
-312.651847,100,5023.787337
-309.832349,100,5037.167024
-314.388422,100,5043.50582
-312.66743,100,5050.266428
-311.48107,100,5057.981059
-312.872297,100,5071.958086
-145.661123,47,5075.740373
-317.927246,100,5081.467454
-313.154614,100,5088.153346
-311.621611,100,5099.834079
-313.346882,100,5106.476401
-117.622065,38,5109.7447
-201.232267,65,5118.58053
-309.618608,100,5125.642039
-313.040834,100,5132.093305
-313.488903,100,5138.826066
-309.110465,100,5153.965718
-108.234901,35,5159.983071
-143.957898,46,5163.334333
-151.612428,49,5167.756382
-59.12777,19,5169.62515
-314.701114,100,5175.826792
-311.182588,100,5183.05278
-313.341133,100,5191.075655
-310.724892,100,5198.95647
-307.732637,100,5207.387383
-313.085581,100,5221.416575
-312.308252,100,5234.737375
-311.546178,100,5242.112299
-315.449381,100,5247.735544
-314.105186,100,5254.942796
-311.217853,100,5260.563759
-313.719086,100,5267.126547
-319.726526,100,5275.404112
-309.726427,100,5285.928902
-311.104048,100,5293.174196
-315.0385,100,5299.79967
-310.533677,100,5313.023182
-314.827502,100,5326.063472
-106.84599,34,5328.582355
-311.827595,100,5344.416332
-312.034364,100,5351.78903
-312.227181,100,5360.262624
-319.863038,100,5365.747153
-310.645194,100,5373.646543
-310.703348,100,5389.014832
-312.94134,100,5398.472931
-309.952863,100,5454.76389
-314.436073,100,5461.264852
-314.166718,100,5474.168801
-310.53046,100,5481.6016
-315.875999,100,5487.49965
-83.363977,27,5490.384473
-312.388025,100,5503.275722
-311.334971,100,5511.130948
-310.903263,100,5521.508143
-312.047224,100,5529.015752
-314.548526,100,5535.152901
-311.576598,100,5545.69658
-312.130479,100,5552.709007
-310.260065,100,5560.888984
-163.221492,52,5564.779958
-310.56651,100,5576.371
-309.841972,100,5591.646885
-130.45678,42,5598.297809
-309.562054,100,5614.677049
-316.037171,100,5626.465895
-311.966557,100,5635.914337
-312.284879,100,5647.782903
-105.846903,34,5650.661944
-314.640489,100,5663.254249
-308.92209,100,5671.750677
-313.149357,100,5678.311273
-312.321753,100,5685.270642
-313.316027,100,5700.072141
-312.207604,100,5707.694802
-308.432212,100,5716.542709
-314.07767,100,5722.163191
-185.638915,60,5727.063629
-312.319465,100,5734.190006
-311.831476,100,5742.372058
-312.751199,100,5757.229415
-311.247863,100,5768.188256
-312.578694,100,5775.147521
-311.766633,100,5787.622477
-310.577789,100,5794.381246
-158.161023,51,5798.353449
-313.012712,100,5813.270729
-310.299068,100,5824.863815
